Seq,Module,Section,Scene,Duration,Visual,Avatar,Narration,Production Notes
11,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Copilot Metaphor,60,"Slide with airplane cockpit image metaphor, Avatar labeled as co-pilot","Avatar points to self, then to imaginary user position","Joule is your partner, handles routine work, escalates complex decisions","Use the partnership metaphor, partner vs replacement"
12,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,SAP Integration Example,75,Slide showing Joule connected to multiple SAP modules,Avatar traces connections with hand gestures,"Understands customers, materials, invoices, employees, processes","This is the key differentiator, emphasize business context"
13,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Capabilities Summary,90,"Slide: Four circles - Understand, Retrieve, Act, Learn","Avatar walks through each circle, stands center for emphasis",Four key abilities enable Joule to serve as intelligent copilot,"Build visual understanding, let graphics do work, avatar guides"
14,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Real Use Case Example 1,75,Slide showing finance use case scenario,"Avatar speaks conversationally, gestures naturally","Finance controller asks about cash position, Joule analyzes risk","Sound like colleague sharing experience, not presenter"
15,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Real Use Case Example 2,75,Slide showing procurement use case scenario,"Avatar continues conversational tone, maintains energy",Procurement manager requests order optimization with constraints,Keep examples concrete and relatable to viewer roles
16,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Real Use Case Example 3,75,Slide showing sales use case scenario,Avatar demonstrates understanding through facial expression,Sales manager seeks opportunity identification and sizing,Vary examples to appeal to different roles in audience
17,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Joule in Your Workflow,80,Slide showing Joule as interface layer over existing systems,Avatar positions self between audience and systems image,"Joule sits alongside existing tools, enhances not replaces","This alleviates concerns about disruption, it augments"
18,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Key Differentiators,105,Slide with 6 green boxes highlighting Joule advantages,"Avatar gestures broadly across slide, nods affirmatively","SAP Integration, Business Context, Governance, Process Optimization, Real-time, Continuous Improvement",Speak with pride about SAP's innovation
19,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Bridge to Next Section,45,Fade to question slide: 'Why Should You Care?',"Avatar looks curious, inviting, forward-leaning posture","Now you understand what Joule is, let's explore why it matters","Transition tone, move to business value"
20,Module 1: Introduction to SAP Joule,1.3 Why SAP Joule Matters,Business Value Drivers,90,Slide listing 5 business value drivers with impact estimates,"Avatar nods while each point appears, maintains engagement","Productivity gains, intelligence advantages, automation benefits, learning costs, competitive positioning","Speak with conviction about impact, use numbers"
21,Module 1: Introduction to SAP Joule,1.3 Why SAP Joule Matters,ROI Illustration,75,Slide showing ROI timeline and payback metrics,"Avatar gestures to chart, traces progression with hand",Typical implementations show 6-12 month ROI payback,Make financial impact visible and understandable
22,Module 1: Introduction to SAP Joule,1.3 Why SAP Joule Matters,Transformation Story,120,Animated case study: company before/after,"Avatar narrates transformation journey, uses storytelling voice",SAP customer implementation journey and results achieved,"Build narrative tension, resolve with positive outcome"
23,Module 1: Introduction to SAP Joule,1.3 Why SAP Joule Matters,Competitive Advantage,90,Slide showing 'Early Adopter Benefits' expanding over time,"Avatar points out early advantage window, looks forward","First-mover advantage in your industry, capability differentiator",Create sense of urgency without pressure
24,Module 1: Introduction to SAP Joule,1.3 Why SAP Joule Matters,Your Organization Benefit,75,Slide prompts: 'What problems could Joule solve for you?',"Avatar leans toward camera, encouraging expression","Pause here, think about your specific challenges",This is the hook for learner's own thinking
25,Module 1: Introduction to SAP Joule,1.4 SAP Joule Architecture Overview,Architecture Overview,60,Slide showing system architecture diagram,"Avatar stands beside diagram, traces main components","Four main components: Conversation Engine, Knowledge, Integration, Deployment","Visual guide, avatar points to components as explaining"
26,Module 1: Introduction to SAP Joule,1.4 SAP Joule Architecture Overview,Conversation Engine,75,Animated diagram of conversation processing flow,Avatar gestures left-to-right showing flow,Natural language input → Intent/Entity recognition → Response generation → Output,Walk through input-to-output journey
27,Module 1: Introduction to SAP Joule,1.4 SAP Joule Architecture Overview,Knowledge Layer,75,Slide showing knowledge base and data sources,"Avatar gestures to knowledge stack, builds understanding","Documents, master data, real-time systems, ML models, configuration",This is where Joule's intelligence lives
28,Module 1: Introduction to SAP Joule,1.4 SAP Joule Architecture Overview,Integration Points,90,Slide mapping Joule to SAP and external systems,Avatar traces connection lines with hand gestures,"RFC, OData, APIs, webhooks enable rich ecosystem connectivity",Technical but understandable overview
29,Module 1: Introduction to SAP Joule,1.4 SAP Joule Architecture Overview,Deployment Options,75,"Slide showing Cloud, On-Prem, Hybrid deployment paths","Avatar gestures to options, nods affirmatively at flexibility","Cloud native, on-premise, hybrid configurations available",Emphasize flexibility for different organizational needs
30,Module 1: Introduction to SAP Joule,1.5 Joule in S/4HANA Ecosystem,Integration Breadth,75,Slide showing Joule connected to 5+ SAP solutions,Avatar gestures broadly showing integration reach,"S/4HANA, Analytics Cloud, SuccessFactors, Fieldglass, custom apps","Impressive scope, helps learner understand ecosystem"
31,Module 1: Introduction to SAP Joule,1.5 Joule in S/4HANA Ecosystem,Finance Use Cases,90,Slide: Finance/Controlling specific capabilities,Avatar speaks with authority on finance domain,"Invoice processing, GL analysis, cash management, budgeting","Target FICO professionals, show this is for them"
32,Module 1: Introduction to SAP Joule,1.5 Joule in S/4HANA Ecosystem,Operations Use Cases,75,Slide: Operations-specific applications,Avatar demonstrates understanding of ops challenges,"Supply chain visibility, inventory optimization, maintenance planning","Different persona, show relevance to operations roles"
33,Module 1: Introduction to SAP Joule,1.5 Joule in S/4HANA Ecosystem,Process Integration,75,Slide showing Joule in SAP workflows,"Avatar points to workflow diagram, shows Joule's role","Participates in approval workflows, triggers processes, receives requests","Joule is part of enterprise process fabric, not separate"
34,Module 1: Introduction to SAP Joule,1.6 Real-World Success Stories,Case Study 1: Finance,105,Slide: Customer A story - Invoice processing transformation,"Avatar narrates as case study, speaks about specific challenges and solutions",Manufacturing company reduced invoice processing by 40% with Joule,"Tell as story not lecture, make it relatable"
35,Module 1: Introduction to SAP Joule,1.6 Real-World Success Stories,Case Study 2: Supply Chain,105,Slide: Customer B story - Procurement automation,Avatar speaks with enthusiasm about supply chain benefits,Mid-market distributor improved order accuracy and reduced cycle time 25%,"Different industry/scenario, builds credibility"
36,Module 1: Introduction to SAP Joule,1.6 Real-World Success Stories,Case Study 3: Sales,105,Slide: Customer C story - Sales effectiveness,Avatar connects Joule to revenue impact,Global company increased opportunity identification 30% with Joule guidance,"Speak to sales personas, show revenue benefits"
37,Module 1: Introduction to SAP Joule,1.6 Real-World Success Stories,Key Success Factors,75,Slide: What made these implementations succeed?,"Avatar points to success factors, nods at each one","Clear use case focus, change management, executive sponsorship, continuous optimization",This sets up expectations for their own implementation
38,Module 1: Introduction to SAP Joule,1.7 Course Tools & Setup,Technical Requirements,75,Slide: Hardware and software requirements,"Avatar gestures to checklist items, Reassuring tone","Modern browser, internet connection, SAP Joule access, text editor"," requirements are reasonable"""
39,Module 1: Introduction to SAP Joule,1.7 Course Tools & Setup,Account Setup Steps,90,Slide: Step-by-step account creation process,"Avatar walks through steps with hand gestures, encouraging","Create SAP account, request Joule access, setup development environment","Make it feel achievable, provide links and support"
40,Module 1: Introduction to SAP Joule,1.7 Course Tools & Setup,Hands-On Lab Preview,75,Slide: Lab 1 preview - First agent creation,Avatar looks excited about upcoming labs,"Your first lab: Create simple FAQ agent, train, test, deploy",Build anticipation for practical work ahead
41,Module 1: Introduction to SAP Joule,1.8 Q&A and Common Questions,FAQ: Background Required,60,Slide: Answer to 'Do I need AI/ML background?',"Avatar shakes head reassuringly, friendly smile","No, we build from first principles, all backgrounds welcome","Directly address common concern, build confidence"
42,Module 1: Introduction to SAP Joule,1.8 Q&A and Common Questions,FAQ: Time Commitment,60,Slide: Answer to 'How much time weekly?',Avatar nods encouragingly,"10-15 hours per week, investment pays off in capability",Be realistic but encouraging about time investment
43,Module 1: Introduction to SAP Joule,1.8 Q&A and Common Questions,Module Recap Slide,75,Slide: Module 1 summary with learning objectives checked off,"Avatar stands confidently, reviews what was covered","You now understand what Joule is, why it matters, how it's architected","Closure and reinforcement, set expectation for next module"
44,Module 1: Introduction to SAP Joule,1.8 Q&A and Common Questions,Module Complete Badge,45,Animated module completion badge slides in,"Avatar celebrates with positive gesture, big smile",Module 1 Complete! Ready for Module 2?,"Celebratory tone, you've earned progress"
45,Module 2: AI Fundamentals for Business Professionals,2.1 Demystifying Artificial Intelligence,AI Definition & Scope,75,Slide: What is Artificial Intelligence,"Avatar gestures broadly, inviting posture",AI = Systems performing tasks requiring human-like intelligence,Make AI feel approachable not scary
46,Module 2: AI Fundamentals for Business Professionals,2.1 Demystifying Artificial Intelligence,AI Capabilities,90,Slide: What AI can do with examples,"Avatar nods at each capability, maintains energy","Pattern recognition, language understanding, prediction, decision making",Concrete examples make abstract concept real
47,Module 2: AI Fundamentals for Business Professionals,2.1 Demystifying Artificial Intelligence,AI Limitations,90,"Slide: What AI cannot do, honest assessment","Avatar speaks matter-of-fact, credible tone","Can't understand context without data, makes mistakes, hallucinates, has biases","Be honest about limitations, builds trust"
48,Module 2: AI Fundamentals for Business Professionals,2.1 Demystifying Artificial Intelligence,Common AI Myths,75,Slide: Busted myths about AI,"Avatar points to myths being crossed out, shakes head affirmatively",Myth: AI will replace humans. Reality: AI augments human capability,"Debunk misconceptions, replace with reality"
49,Module 2: AI Fundamentals for Business Professionals,2.1 Demystifying Artificial Intelligence,AI Timeline,60,Slide: Brief AI history - Last 70 years,"Avatar gestures through timeline, nods at key moments","From symbolic AI to modern deep learning, exponential acceleration",Historical context helps understand recent explosion
50,Module 2: AI Fundamentals for Business Professionals,2.2 Machine Learning Essentials,ML Definition,60,Slide: Machine Learning explained simply,Avatar gestures to analogy: 'learning by example not instruction',ML = Systems that improve through experience with data,Simple analogies bridge to technical concepts
51,Module 2: AI Fundamentals for Business Professionals,2.2 Machine Learning Essentials,Data to Model Flow,90,Slide: Animated data-to-model pipeline,"Avatar traces flow with gestures, walks through each stage",Data → Patterns → Model → Predictions → Actions,"Visual and verbal explanation, build mental model"
52,Module 2: AI Fundamentals for Business Professionals,2.2 Machine Learning Essentials,Training Process,75,Slide: How models learn (simplified),Avatar uses hand gestures showing feedback loop,Examples → Adjust → Test → Refine → Repeat until accurate,Make training process intuitive not intimidating
53,Module 2: AI Fundamentals for Business Professionals,2.3 Types of ML and Their Applications,Supervised Learning,90,Slide: Supervised learning with examples,Avatar points to labeled data examples,"Learning from labeled examples, supervised teacher provides answers","Concrete business examples: fraud detection, sales forecasting"
54,Module 2: AI Fundamentals for Business Professionals,2.3 Types of ML and Their Applications,Unsupervised Learning,75,Slide: Unsupervised learning examples,Avatar gestures to discovery happening,"Discovering hidden patterns without labels, self-organizing","Different approach, equally valuable: customer segmentation, anomaly detection"
55,Module 2: AI Fundamentals for Business Professionals,2.3 Types of ML and Their Applications,Reinforcement Learning,75,Slide: Reinforcement learning in business,Avatar nods approvingly at game analogy,"Learning through reward and punishment, iterative improvement","Uncommon but powerful: optimization, game playing, robotics"
56,Module 2: AI Fundamentals for Business Professionals,2.4 Key ML Terminology Explained,Algorithm Explained,60,Slide: Algorithm = Recipe/Procedure,"Avatar uses cooking metaphor, gestures follow steps",Algorithm: Step-by-step instructions to solve a problem,Demystify technical term with everyday analogy
57,Module 2: AI Fundamentals for Business Professionals,2.4 Key ML Terminology Explained,Model Explained,60,Slide: Model = Mathematical Representation,"Avatar gestures to model on screen, points to real-world mapping","Model: Captures learned patterns, makes predictions","Models are tools, made by people, improvable"
58,Module 2: AI Fundamentals for Business Professionals,2.4 Key ML Terminology Explained,Training Data Explained,60,Slide: Training Data = Learning Material,"Avatar points to data source, shows what model learns from",Training Data: Historical examples model learns patterns from,"Quality in, quality out - data is critical"
59,Module 2: AI Fundamentals for Business Professionals,2.4 Key ML Terminology Explained,Features Explained,60,Slide: Features = Inputs/Characteristics,"Avatar points to input variables, shows importance",Features: Individual input variables that model uses,Features determine what the model can learn
60,Module 2: AI Fundamentals for Business Professionals,2.4 Key ML Terminology Explained,Accuracy Explained,60,Slide: Accuracy = How Often Right,"Avatar shows accuracy metric, positive gesture",Accuracy: Percentage of correct predictions,"Important but not only metric, business impact matters more"
61,Module 2: AI Fundamentals for Business Professionals,2.5 From Data to Decisions,Data Collection,60,Slide: Gathering the right data,"Avatar gestures to data sources, nods affirmatively",Collecting relevant historical data from business systems,"First critical step, quality matters upstream"
62,Module 2: AI Fundamentals for Business Professionals,2.5 From Data to Decisions,Data Preparation,75,Slide: Cleaning and organizing data,Avatar shows before/after data states,"Cleaning, validating, formatting data for learning","Often underestimated work, critical quality step"
63,Module 2: AI Fundamentals for Business Professionals,2.5 From Data to Decisions,Model Training,75,Slide: Teaching the model from data,"Avatar watches imaginary model learn, nods encouragement",Algorithms adjust model parameters based on data,"Patient process, requires good data and algorithms"
64,Module 2: AI Fundamentals for Business Professionals,2.5 From Data to Decisions,Model Evaluation,60,Slide: Testing how well model works,"Avatar reviews results critically, checks quality carefully","Testing model on unseen data, measuring performance",Rigorous evaluation prevents problems in production
65,Module 2: AI Fundamentals for Business Professionals,2.5 From Data to Decisions,Deployment,60,Slide: Putting model to work,"Avatar celebrates success, forward-looking posture",Deploying trained model into production systems,"Model enters real world, starts delivering value"
66,Module 2: AI Fundamentals for Business Professionals,2.5 From Data to Decisions,Continuous Improvement,75,Slide: Feedback loop for model enhancement,"Avatar points to cycle repeating, positive gesture","Monitoring performance, retraining with new data, iterative improvement","Models degrade without care, maintenance is ongoing"
67,Module 2: AI Fundamentals for Business Professionals,2.6 AI in Enterprise Systems,SAP's AI Strategy,75,Slide: SAP's AI investments and direction,Avatar speaks with authority on SAP strategy,SAP integrating AI across all solutions,"SAP is committed, this is foundational not optional"
68,Module 2: AI Fundamentals for Business Professionals,2.6 AI in Enterprise Systems,AI in Your Systems,90,Slide: Where AI shows up in S/4HANA,Avatar points to AI features across solutions,"Predictive analytics, intelligent workflows, decision support","Make visible the AI already in their systems, often unnoticed"
69,Module 2: AI Fundamentals for Business Professionals,2.6 AI in Enterprise Systems,Joule's Role,75,Slide: Joule as next generation enterprise AI,"Avatar gestures forward, future-looking posture",Conversational interface bringing AI accessibility to all,Position Joule as evolution not revolution
70,Module 2: AI Fundamentals for Business Professionals,2.7 Building AI Intuition,Interactive Example 1,90,Slide: Real business scenario,"Avatar walks through scenario, asks for predictions",What patterns matter? What would you look for?,"Engage learner in thinking, before revealing answer"
71,Module 2: AI Fundamentals for Business Professionals,2.7 Building AI Intuition,Interactive Example 2,90,"Slide: Different scenario, different learning","Avatar presents case study style, builds understanding",Customer risk analysis using historical behavior patterns,Multiple examples from different domains build broader intuition
72,Module 2: AI Fundamentals for Business Professionals,2.8 Hands-On: AI Concept Quiz,Knowledge Check,60,Slide: 5-question self-assessment,Avatar speaks warmly about checking understanding,"Test your understanding, be honest with yourself","Formative not summative, goal is learning not judgment"
73,Module 2: AI Fundamentals for Business Professionals,2.8 Hands-On: AI Concept Quiz,Quiz Complete,45,"Slide: Module complete, ready for next","Avatar celebrates progress, congratulates learner","Well done! Module 2 complete, ready for Generative AI deep dive","Positive reinforcement, momentum building"
74,Module 3: Generative AI and Large Language Models,3.1 The Generative AI Revolution,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.1 The Generative AI Revolution and explain why it matters for SAP Joule implementation.,Target outcome: Understand why generative AI is transformative.
75,Module 3: Generative AI and Large Language Models,3.1 The Generative AI Revolution,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: What changed, why now, market transformation. Keep language business-friendly and avoid over-technical wording.",Target outcome: Understand why generative AI is transformative.
76,Module 3: Generative AI and Large Language Models,3.1 The Generative AI Revolution,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Understand why generative AI is transformative.
77,Module 3: Generative AI and Large Language Models,3.1 The Generative AI Revolution,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Understand why generative AI is transformative.
78,Module 3: Generative AI and Large Language Models,3.2 What is a Large Language Model?,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.2 What is a Large Language Model? and explain why it matters for SAP Joule implementation.,Target outcome: Understand LLM fundamentals conceptually.
79,Module 3: Generative AI and Large Language Models,3.2 What is a Large Language Model?,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Training process, scale, emergent capabilities. Keep language business-friendly and avoid over-technical wording.",Target outcome: Understand LLM fundamentals conceptually.
80,Module 3: Generative AI and Large Language Models,3.2 What is a Large Language Model?,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Understand LLM fundamentals conceptually.
81,Module 3: Generative AI and Large Language Models,3.2 What is a Large Language Model?,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Understand LLM fundamentals conceptually.
82,Module 3: Generative AI and Large Language Models,3.3 How LLMs Actually Work,Open / Hook,194,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.3 How LLMs Actually Work and explain why it matters for SAP Joule implementation.,Target outcome: Grasp LLM mechanics without advanced math.
83,Module 3: Generative AI and Large Language Models,3.3 How LLMs Actually Work,Concept Walkthrough,367,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Tokenization, embeddings, attention, transformer architecture simplified. Keep language business-friendly and avoid over-technical wording.",Target outcome: Grasp LLM mechanics without advanced math.
84,Module 3: Generative AI and Large Language Models,3.3 How LLMs Actually Work,SAP / Enterprise Example,324,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Grasp LLM mechanics without advanced math.
85,Module 3: Generative AI and Large Language Models,3.3 How LLMs Actually Work,Recap / Action Step,194,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Grasp LLM mechanics without advanced math.
86,Module 3: Generative AI and Large Language Models,3.4 LLM Capabilities Deep Dive,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.4 LLM Capabilities Deep Dive and explain why it matters for SAP Joule implementation.,Target outcome: Recognize what LLMs excel at.
87,Module 3: Generative AI and Large Language Models,3.4 LLM Capabilities Deep Dive,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Language understanding, generation, reasoning, multi-task abilities. Keep language business-friendly and avoid over-technical wording.",Target outcome: Recognize what LLMs excel at.
88,Module 3: Generative AI and Large Language Models,3.4 LLM Capabilities Deep Dive,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Recognize what LLMs excel at.
89,Module 3: Generative AI and Large Language Models,3.4 LLM Capabilities Deep Dive,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Recognize what LLMs excel at.
90,Module 3: Generative AI and Large Language Models,3.5 Understanding LLM Limitations,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.5 Understanding LLM Limitations and explain why it matters for SAP Joule implementation.,Target outcome: Know limitations to use LLMs responsibly.
91,Module 3: Generative AI and Large Language Models,3.5 Understanding LLM Limitations,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Hallucinations, knowledge cutoff, reasoning gaps, bias. Keep language business-friendly and avoid over-technical wording.",Target outcome: Know limitations to use LLMs responsibly.
92,Module 3: Generative AI and Large Language Models,3.5 Understanding LLM Limitations,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Know limitations to use LLMs responsibly.
93,Module 3: Generative AI and Large Language Models,3.5 Understanding LLM Limitations,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Know limitations to use LLMs responsibly.
94,Module 3: Generative AI and Large Language Models,3.6 Fine-tuning and Adaptation,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.6 Fine-tuning and Adaptation and explain why it matters for SAP Joule implementation.,Target outcome: Understand how LLMs adapt to specific needs.
95,Module 3: Generative AI and Large Language Models,3.6 Fine-tuning and Adaptation,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Domain-specific models, SAP context, business customization. Keep language business-friendly and avoid over-technical wording.",Target outcome: Understand how LLMs adapt to specific needs.
96,Module 3: Generative AI and Large Language Models,3.6 Fine-tuning and Adaptation,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Understand how LLMs adapt to specific needs.
97,Module 3: Generative AI and Large Language Models,3.6 Fine-tuning and Adaptation,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Understand how LLMs adapt to specific needs.
98,Module 3: Generative AI and Large Language Models,3.7 Evaluating LLM Quality,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.7 Evaluating LLM Quality and explain why it matters for SAP Joule implementation.,Target outcome: Assess LLM suitability for tasks.
99,Module 3: Generative AI and Large Language Models,3.7 Evaluating LLM Quality,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Metrics, benchmarks, testing approaches, real-world performance. Keep language business-friendly and avoid over-technical wording.",Target outcome: Assess LLM suitability for tasks.
100,Module 3: Generative AI and Large Language Models,3.7 Evaluating LLM Quality,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Assess LLM suitability for tasks.
101,Module 3: Generative AI and Large Language Models,3.7 Evaluating LLM Quality,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Assess LLM suitability for tasks.
102,Module 3: Generative AI and Large Language Models,3.8 Interactive: Ask an LLM,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 3.8 Interactive: Ask an LLM and explain why it matters for SAP Joule implementation.,Target outcome: See LLM in action with real examples.
103,Module 3: Generative AI and Large Language Models,3.8 Interactive: Ask an LLM,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Live demonstration, prompt variations, capability showcase. Keep language business-friendly and avoid over-technical wording.",Target outcome: See LLM in action with real examples.
104,Module 3: Generative AI and Large Language Models,3.8 Interactive: Ask an LLM,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: See LLM in action with real examples.
105,Module 3: Generative AI and Large Language Models,3.8 Interactive: Ask an LLM,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: See LLM in action with real examples.
106,Module 4: SAP Joule Studio Deep Dive,4.1 Studio Navigation & Interface,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.1 Studio Navigation & Interface and explain why it matters for SAP Joule implementation.,Target outcome: Navigate studio efficiently.
107,Module 4: SAP Joule Studio Deep Dive,4.1 Studio Navigation & Interface,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Dashboard, menus, workspaces, customization. Keep language business-friendly and avoid over-technical wording.",Target outcome: Navigate studio efficiently.
108,Module 4: SAP Joule Studio Deep Dive,4.1 Studio Navigation & Interface,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Navigate studio efficiently.
109,Module 4: SAP Joule Studio Deep Dive,4.1 Studio Navigation & Interface,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Navigate studio efficiently.
